"date","ts1"
2010-11-01,2.69846856411548
2010-11-02,2.71848321812656
2010-11-03,2.60688723020918
2010-11-04,2.67250603759821
2010-11-05,2.84687002713634
2010-11-08,2.73074490802842
2010-11-09,2.66642476379207
2010-11-10,2.59678031732352
2010-11-11,2.64541100532179
2010-11-12,2.56080236696858
2010-11-15,2.48417192261968
2010-11-16,2.35723893961154
2010-11-17,2.36449088096299
2010-11-18,2.34116582957257
2010-11-19,2.40111758974627
2010-11-22,2.28606958780633
2010-11-23,2.2397470182568
2010-11-24,2.3019526411373
2010-11-25,2.29257698863033
2010-11-26,2.25296372675555
2010-11-29,2.23884118917502
2010-11-30,2.19080935685375
2010-12-01,2.16925008292227
2010-12-02,2.17267184602873
2010-12-03,2.18604883435615
2010-12-06,2.20145021331215
2010-12-07,2.15951576500109
2010-12-08,2.13168927843564
2010-12-09,2.14125772947069
2010-12-10,2.2350665415452
2010-12-13,2.27648548028562
2010-12-14,2.3936651530996
2010-12-15,2.32425805333007
2010-12-16,2.32042368866154
2010-12-17,2.39775383123921
2010-12-20,2.41742165776084
2010-12-21,2.40663538120769
2010-12-22,2.366782608929
2010-12-23,2.36721718866033
2010-12-24,2.33655768093662
2010-12-27,2.35831502888439
2010-12-28,2.4428515082958
2010-12-29,2.48324460284213
2010-12-30,2.46684125737346
2010-12-31,2.40888860744113
2011-01-03,2.40336317293009
2011-01-04,2.28853606796009
2011-01-05,2.16657792408698
2011-01-06,2.12354100135814
2011-01-07,2.02674849157534
2011-01-10,2.21440536924296
2011-01-11,2.30246618937624
2011-01-12,2.30466846102236
2011-01-13,2.34124135593974
2011-01-14,2.32638026204093
2011-01-17,2.29323967298816
2011-01-18,2.24574599187358
2011-01-19,2.27996154064463
2011-01-20,2.36689460727963
2011-01-21,2.24839590017092
2011-01-24,2.44773682745289
2011-01-25,2.51079659479419
2011-01-26,2.43421733756093
2011-01-27,2.50597072184209
2011-01-28,2.53456721581311
2011-01-31,2.56239393793193
2011-02-01,2.58927885230693
2011-02-02,2.52863390666909
2011-02-03,2.52438174457188
2011-02-04,2.51047429067861
2011-02-07,2.56561128616651
2011-02-08,2.5364688565388
2011-02-09,2.59631052430305
2011-02-10,2.52360534169483
2011-02-11,2.54349036533357
2011-02-14,2.48906529859046
2011-02-15,2.63798741531765
2011-02-16,2.56914803573645
2011-02-17,2.75336313445211
2011-02-18,2.61454338409105
2011-02-21,2.50164916888637
2011-02-22,2.36918216370543
2011-02-23,2.48696150902801
2011-02-24,2.46923993777471
2011-02-25,2.47193793659384
2011-02-28,2.4712941852511
2011-03-01,2.41221417048216
2011-03-02,2.37920089524371
2011-03-03,2.40194377324448
2011-03-04,2.35335054684343
2011-03-07,2.36548901634521
2011-03-08,2.40806130567348
2011-03-09,2.38810687231349
2011-03-10,2.44836869023752
2011-03-11,2.45705580893969
2011-03-14,2.42259381144382
2011-03-15,2.46795651134864
2011-03-16,2.49331358491378
2011-03-17,2.55047974804082
2011-03-18,2.55045820355297
2011-03-21,2.51540619528131
2011-03-22,2.50461941094241
2011-03-23,2.44398765402616
2011-03-24,2.45966457914767
2011-03-25,2.48779235623885
2011-03-28,2.44019324203516
2011-03-29,2.4517332811875
2011-03-30,2.48055754027375
2011-03-31,2.51741357095087
2011-04-01,2.5992380728904
2011-04-04,2.44135196391865
2011-04-05,2.3625743342185
2011-04-06,2.38743580482402
2011-04-07,2.47852733149813
2011-04-08,2.52517554832074
2011-04-11,2.50032328755259
2011-04-12,2.53436732688995
2011-04-13,2.49662996495454
2011-04-14,2.42069165120165
2011-04-15,2.33875697307367
2011-04-18,2.27737267617765
2011-04-19,2.3477322239251
2011-04-20,2.31480058260407
2011-04-21,2.31022039720896
2011-04-22,2.33997478535418
2011-04-25,2.38700092555812
2011-04-26,2.45108788063794
2011-04-27,2.51590050952515
2011-04-28,2.45493917544082
2011-04-29,2.5669991523387
2011-05-02,2.52441697014954
2011-05-03,2.69397760850918
